City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,28.0,69.0,116.0,77.0,0.1,0.1,8.2,116,Poor,630.33,,2026-02-26T01:48:21.382562
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,13.0,114.0,51.0,21.2,12.7,17.9,114,Poor,1772.02,21.65,2026-02-26T01:48:23.933181
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,23.8,23.0,89.0,29.0,9.6,,2.0,89,Moderate,10999.44,,2026-02-26T01:48:27.261142
"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico",Mexico,19.317583333333,-98.237305555556,21.0,64.0,81.0,64.0,7.4,,,81,Moderate,611.54,86.25,2026-02-26T01:48:32.539844
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,13.0,80.0,64.0,15.4,,7.8,80,Moderate,342.07,20.68,2026-02-26T01:48:34.923058
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,32.0,17.0,59.0,40.0,24.4,5.3,9.2,78,Moderate,,,2026-02-26T01:48:53.330997
"San Juanico, Mexico",Mexico,20.537489,-100.839905,22.6,34.1,75.0,56.0,21.5,5.6,12.0,75,Moderate,4814.67,,2026-02-26T01:49:06.894277
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,22.6,34.1,74.0,64.0,35.8,6.5,8.0,74,Moderate,4814.67,3.82,2026-02-26T01:49:09.193925
"Metepec, Toluca, Mexico",Mexico,19.270192914173,-99.595307048355,18.0,36.0,,70.0,8.4,,,70,Moderate,359.12,65.55,2026-02-26T01:49:15.926900
"Hospital General, Mexico",Mexico,20.947924,-101.425774,22.6,34.1,70.0,49.0,6.1,5.4,14.8,70,Moderate,1061.27,34.59,2026-02-26T01:49:18.531952
"Guanajuato Universidad Gto Sede Belen, Mexico",Mexico,21.017583333333,-101.25736111111,27.0,14.0,70.0,,,,,70,Moderate,892.13,47.13,2026-02-26T01:49:21.205597
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,23.8,23.0,69.0,27.0,0.1,0.1,3.5,69,Moderate,10999.44,,2026-02-26T01:49:23.731780
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,27.0,13.0,69.0,50.0,17.8,,8.4,69,Moderate,5633.33,23.28,2026-02-26T01:49:26.346823
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-02-26T01:49:43.883293
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,50.0,9.0,,,,,-,,4024.59,,2026-02-26T01:50:01.381199
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,,2026-02-26T01:50:04.426896
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2026-02-26T01:50:09.373431
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.7,61.1,,,,,,-,,4024.59,,2026-02-26T01:50:24.760845
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-02-26T01:50:28.001875
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,69.0,80.0,41.0,3.2,0.9,,80,Moderate,,72.99,2026-02-26T01:50:58.562673
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.1,70.0,78.0,40.0,8.5,0.2,2.7,78,Moderate,445.63,,2026-02-26T01:51:10.728553
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.5,67.0,76.0,47.0,4.6,0.4,4.8,76,Moderate,,68.77,2026-02-26T01:51:13.348900
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.3,84.2,76.0,48.0,11.2,0.2,7.3,76,Moderate,445.63,81.7,2026-02-26T01:51:15.829228
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,14.5,66.0,70.0,40.0,6.1,0.3,8.3,70,Moderate,104164.41,,2026-02-26T01:51:35.122315
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.5,56.7,67.0,41.0,,,,67,Moderate,104164.41,72.79,2026-02-26T01:51:38.242704
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,84.2,63.0,22.0,11.9,0.7,3.8,63,Moderate,,,2026-02-26T01:51:53.339883
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,14.5,66.0,58.0,25.0,6.7,0.9,4.2,58,Moderate,,75.54,2026-02-26T01:52:05.274959
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.0,73.0,55.0,17.0,9.9,,7.5,55,Moderate,104164.41,,2026-02-26T01:52:22.394400
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,13.49,93.0,99.0,,63.0,14.9,23.7,99,Moderate,34010.69,465.66,2026-02-26T01:52:32.496109
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.12,93.0,92.0,41.0,42.7,6.9,19.2,92,Moderate,,,2026-02-26T01:52:35.612457
