City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Timestamp
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,10.0,87.0,125.0,55.0,22.2,55.1,11.3,125,Poor,2025-12-09T12:40:38.133517
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,8.8,92.0,76.0,11.0,7.6,0.3,1.2,76,Moderate,2025-12-09T12:40:53.085173
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,13.0,76.0,76.0,42.0,0.1,0.1,6.9,76,Moderate,2025-12-09T12:40:54.648329
"Irapuato Bomberos, Mexico",Mexico,21.118055555556,-101.60216666667,11.9,83.3,75.0,40.0,3.0,3.9,17.8,75,Moderate,2025-12-09T12:40:56.218402
"T-21, Mexico",Mexico,21.108664,-101.688614,12.0,100.0,73.0,18.0,,11.5,16.2,73,Moderate,2025-12-09T12:40:57.781124
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,8.8,69.0,71.0,42.0,16.5,6.8,,71,Moderate,2025-12-09T12:40:59.347108
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,13.0,100.0,70.0,33.0,15.7,4.6,11.3,70,Moderate,2025-12-09T12:41:00.912312
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,10.5,62.0,68.0,30.0,13.5,5.8,2.7,68,Moderate,2025-12-09T12:41:08.980405
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,2025-12-09T12:41:15.096995
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,20.2,26.6,,,,,,-,,2025-12-09T12:41:19.542267
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,21.0,94.0,9.0,,,,,-,,2025-12-09T12:41:21.565143
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,2025-12-09T12:41:23.148532
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,2025-12-09T12:41:24.752642
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,2025-12-09T12:41:29.070197
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,12.2,76.0,161.0,28.0,9.7,,10.3,161,Poor,2025-12-09T12:42:00.718332
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,11.9,100.0,124.0,89.0,,1.4,25.0,124,Poor,2025-12-09T12:42:02.306635
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,10.1,86.0,117.0,57.0,9.3,2.1,9.8,117,Poor,2025-12-09T12:42:03.879662
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,11.1,87.1,117.0,,15.5,,14.0,117,Poor,2025-12-09T12:42:05.443515
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,8.0,81.0,,70.0,4.6,0.7,,70,Moderate,2025-12-09T12:42:08.572321
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,13.0,69.7,68.0,31.0,,,,68,Moderate,2025-12-09T12:42:10.135466
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,8.0,91.0,62.0,31.0,10.1,1.8,15.1,62,Moderate,2025-12-09T12:42:14.816565
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,11.1,91.0,61.0,30.0,5.9,0.9,13.8,61,Moderate,2025-12-09T12:42:16.377617
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,11.1,91.0,53.0,29.0,5.5,0.1,8.7,53,Moderate,2025-12-09T12:42:27.421761
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,8.0,87.1,52.0,27.0,12.5,1.4,19.8,52,Moderate,2025-12-09T12:42:30.559227
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,9.19,57.0,147.0,,63.1,44.2,34.9,147,Poor,2025-12-09T12:42:34.861588
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,9.66,57.0,78.0,,,16.2,25.1,78,Moderate,2025-12-09T12:42:36.443478
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,11.13,57.0,71.0,35.0,37.7,3.7,16.8,71,Moderate,2025-12-09T12:42:38.004291
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,9.66,57.0,7.0,35.0,36.1,6.3,12.3,7,Good,2025-12-09T12:42:39.575339
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.53,79.5,,,0.7,2.1,0.8,-,,2025-12-09T12:42:41.138655
